Area Code,Area,Item Code,Item,Element Code,Element,Unit,Year,Production
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1980,4072000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1981,3893000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1982,3724000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1983,3591000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1984,3418000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1985,3242000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1986,3084000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1987,3394000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1988,2997000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1989,2834000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1990,2705000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1991,2721302.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1992,2470000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1993,2981774.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1994,3144000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1995,3242179.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1996,3241915.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1997,3682723.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1998,3875506.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,1999,3256396.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2000,1940000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2001,2108000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2002,3737000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2003,4381000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2004,3560000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2005,5425000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2006,4638000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2007,5786000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2008,3950000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2009,6514000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2010,5957000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2011,4681020.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2012,6379000.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2013,6520329.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2014,6748023.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2015,5808288.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2016,5531472.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2017,4893685.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2018,4133828.0
2,Afghanistan,1717,"Cereals, Total",5510,Production,tonnes,2019,5583461.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1980,939230.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1981,936500.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1982,913600.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1983,894600.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1984,860406.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1985,833597.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1986,783099.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1987,740600.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1988,748430.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1989,745000.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1990,758270.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1991,811941.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1992,771678.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1993,770308.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1994,781137.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1995,789515.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1996,804500.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1997,820513.0
2,Afghanistan,1738,Fruit Primary,5510,Production,tonnes,1998,839562.0
